id,year,title,word_count,text_capture_confidence,lead_agencies,supporting_agencies,subgoal_count
2023072,2023,Directly Admit All New York Students to Their Local Community Colleges,30,high,SED,SUNY,1
2023021,2023,Dramatically Expand Outpatient Services,12,high,OMH,,0
2023017,2023,Expand Insurance Coverage for Mental Health Services,0,high,OMH,DFS,0
2023018,2023,Expand Mental Health Services for School-Aged Children,0,high,OMH,,0
2023020,2023,Improve Admissions and Discharge Planning and Establish Systemic Accountability,0,high,OMH,,0
2023019,2023,"Increase Operational Capacity for Inpatient Psychiatric Treatment by 1,000 Beds",0,high,OMH,,0
2023095,2023,Safeguard Abortion Access through Data Privacy Protections,25,high,DOH,Division of Human Rights,1
2024148,2024,Bolster Workforce Development,36,high,,,0
2024231,2024,Build Cyber Resilience,0,high,Office of Information Technology Services,,0
2024195,2024,Commit to All New Yorkers with Disabilities,0,high,Office for People With Developmental Disabilities,,0
2024191,2024,Commit to Indigenous Nations,0,high,Executive Chamber / cross-agency,,0
2024186,2024,Continue Commitment to Child Care Access,0,high,Executive Chamber / cross-agency,,0
2024071,2024,Create Conditions for Better Outcomes,0,high,DOH,,0
2024138,2024,Create the Conditions to Attract and Grow Businesses,0,high,,,0
2024143,2024,Empower Small Business,0,high,,,0
2024034,2024,Establish Commercial Security Tax Credit,24,high,DCJS,,1
2024242,2024,Getting Around Safely and Equitably,0,high,DOT,,0
2024097,2024,Getting Kids to the Pool,40,high,"Office of Parks, Recreation and Historic Preservation",,2
2024223,2024,Help our Farmers,0,high,Agriculture & Markets,,0
2024211,2024,Improve Access to Benefits and Services,0,high,Executive Chamber / cross-agency,,0
2024077,2024,Improve Maternal Mental Health,0,high,DOH,,0
2024094,2024,Improve Safety in the Water,0,high,"Office of Parks, Recreation and Historic Preservation",,0
2024068,2024,Increase Access to Pre-Natal Care,0,high,DOH,,0
2024228,2024,Innovate in Agriculture,0,high,Agriculture & Markets,,0
2024236,2024,Invest in Infrastructure,0,high,DOT,,0
2024134,2024,Make New York Greener,0,high,NYSERDA,,0
2024111,2024,Protect New York's Infrastructure,0,high,NYSERDA,,0
2024152,2024,Protect New York's Workers,0,high,,,0
2024011,2024,Provide Crisis Intervention Team Training for Law Enforcement,38,high,OMH,,1
2024065,2024,Stand Up for Tenants and Homeowners,0,high,HCR,,0
2024203,2024,Strengthen New York's Response to Discrimination and Hate,0,high,Executive Chamber / cross-agency,,0
2024206,2024,Strengthen Services for LGBTQ+ New Yorkers,0,high,Executive Chamber / cross-agency,,0
2024182,2024,Support Lower-Income New Yorkers,0,high,Executive Chamber / cross-agency,,0
2024199,2024,Support New York Veterans,0,high,Department of Veterans' Services,,0
2024045,2024,Support Re-Entry and Reduce Recidivism,0,high,DCJS,,0
2024058,2024,Unlock Potential for New Housing,0,high,HCR,,0
2025055,2025,Driving Economic Development,0,high,,,0
2025155,2025,Ensuring Access to Abortion,0,high,,,0
2025014,2025,Fostering Better Educational Opportunities,0,high,,,0
2025161,2025,Improving the Health of All New Yorkers,0,high,,,0
2025074,2025,Launching ASCENT NY,0,high,,,0
2025049,2025,"Protecting Pedestrians, Workers, Drivers, and Cyclists",0,high,,,0
2025032,2025,Restoring Trust and Confidence in the Legitimacy of the Justice System,0,high,,,0
2025041,2025,Supporting our First Responders,0,high,,,0
2026062,2026,Combating Crime and Ensuring Justice,0,high,,,0
2026176,2026,Empowering the Healthcare Workforce,0,high,,,0
2026038,2026,Helping Put Food on the Table,0,high,,,0
2026095,2026,Improving Commutes and Travel,0,high,,,0
2026072,2026,Improving Emergency and Disaster Response,0,high,,,0
2026134,2026,Investing in Communities,0,high,,,0
2026184,2026,Investing in Older Adults,0,high,,,0
2026107,2026,Making Government Work Better,0,high,,,0
2026058,2026,Prioritizing Safety on the Subway,0,high,,,0
2026123,2026,Promoting Tech and Biotech,0,high,,,0
2026049,2026,Protecting Our Neighbors' Rights,0,high,,,0
2026167,2026,Safeguarding Kids Online,0,high,,,0
2026053,2026,Safeguarding Our Roads,0,high,,,0
2026046,2026,Stopping Illegal Homegrown Guns,0,high,,,0
2026090,2026,Strengthening Our Communities,0,high,,,0
2026171,2026,Strengthening the Healthcare Delivery System,0,high,,,0
2026128,2026,Supporting Farmers and Manufacturers,0,high,,,0
2026029,2026,Tackling Utility Costs,0,high,,,0
2026086,2026,Upgrading Our Parks,0,high,,,0
